Rio Grande do Norte | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2021],Total de despesas brutas empenhadas - R$ [2021],PIB per capita - R$ [2021],
Goianinha,2404200,goianiense,HOSANIRA GALV&Atilde;O,192.279,26741,139.07,98.1,0.638,11.93,152024500.74,143013566.30,20240.57,
Governador Dix-Sept Rosado,2404309,dix-septiense,ARTUR RODRIGUES DO VALE COSTA,1129.550,11938,10.57,96.7,0.592,8.7,80269495.62,72783013.16,29451.9,
Grossos,2404408,grossense,CINTHIA SONALE SILVA ALVES E SOUZA,124.538,9924,79.69,97.8,0.664,20.62,62107565.87,55816824.62,15018.53,
Guamar&eacute;,2404507,guamareense,ARTHUR HENRIQUE DA FONSECA TEIXEIRA,258.307,15295,59.21,96.8,0.626,7.81,287112207.04,287092360.30,125585.4,
Ielmo Marinho,2404606,ielmo-marinhense,ROSSANE MARQUES LIMA PATRIOTA,312.028,11615,37.22,95.8,0.550,7.25,70133438.94,61211031.08,10027.88,
Ipangua&ccedil;u,2404705,ipangua&ccedil;uense,VALDEREDO BERTOLDO DO NASCIMENTO,374.245,14131,37.76,97.6,0.603,18.18,64380855.59,60107699.06,12469.1,
Ipueira,2404804,ipueirense,JOS&Eacute; MORG&Acirc;NIO PAIVA,127.348,2035,15.98,98.1,0.679,-,26262732.02,22222795.46,15428.38,
Itaj&aacute;,2404853,itajaense,ALAOR FERREIRA PESSOA NETO,203.624,7292,35.81,98,0.624,14.49,48143827.38,40487330.90,13014.65,
Ita&uacute;,2404903,itauense,FRANCISCO ANDR&Eacute; REGIS J&Uacute;NIOR,133.031,5320,39.99,98.4,0.614,-,35541608.91,34149867.95,12471.65,
Ja&ccedil;an&atilde;,2405009,ja&ccedil;an&atilde;ense,UADY ANT&Ocirc;NIO DE FARIAS,54.561,7834,143.58,98.6,0.604,-,36367490.93,30842364.76,9248.51,
Janda&iacute;ra,2405108,jandairense,MARINA DIAS MARINHO,442.754,6562,14.82,98.3,0.569,12.5,55621257.33,61790761.80,14685.2,
Jandu&iacute;s,2405207,janduiense,SALOMAO GURGEL PINHEIRO,303.448,4746,15.64,97.4,0.615,19.23,33866813.67,30018116.33,16162.7,
Janu&aacute;rio Cicco,2405306,januarense,JOSE WELLINGTON ALVES ROCHA,170.737,9051,53.01,96.4,0.574,19.42,48829467.94,46995970.07,8189.45,
Japi,2405405,japiense,SIMONE FERNANDES DA SILVA,188.990,5117,27.08,97.8,0.569,-,31554767.86,27704091.70,10445.41,
Jardim de Angicos,2405504,jardim-angicanense,CARLOS ANDRE CAMARA BEZERRA,254.022,2437,9.59,97.1,0.565,28.57,28651165.23,26231965.02,24766.12,
Jardim de Piranhas,2405603,piranhense,ROG&Eacute;RIO SOARES,330.530,13977,42.29,96.5,0.603,11.76,67027424.40,59987496.38,14179.47,
Jardim do Serid&oacute;,2405702,jardinense,JOS&Eacute; AMAZAN SILVA,367.645,11655,31.70,99.6,0.663,22.47,50895573.01,43533946.98,16777.7,
Jo&atilde;o C&acirc;mara,2405801,camarense,MANOEL DOS SANTOS BERNARDO,714.961,33290,46.56,97.8,0.595,5.66,161266730.53,162073259.30,35911.78,
Jo&atilde;o Dias,2405900,jo&atilde;o-diense,FRANCISCO DAMI&Atilde;O DE OLIVEIRA,88.173,2076,23.54,87.8,0.530,-,23471197.91,26067122.75,10550.88,
Jos&eacute; da Penha,2406007,jos&eacute;-penhense,RAIMUNDO NONATO FERNANDES,117.635,5803,49.33,98.3,0.608,-,36094453.86,32550183.08,11347.37,
Jucurutu,2406106,jucurutuense,IOGO NIELSON DE QUEIROZ E SILVA,933.730,17793,19.06,98.5,0.601,27.17,86357471.79,77936416.72,17226.13,
Jundi&aacute;,2406155,jundiaense,JOS&Eacute; ARNOR DA SILVA,44.641,3739,83.76,97,0.595,-,29214281.88,25845150.66,10683.94,
Lagoa d'Anta,2406205,lagoa-dantense,JO&Atilde;O PAULO GUEDES LOPES,105.652,6654,62.98,95.7,0.601,-,36050854.71,33036356.81,10339.92,
Lagoa de Pedras,2406304,lagoa-pedrense,GUILHERME AFFONSO MELO AM&Acirc;NCIO DA SILVA,117.971,7338,62.20,98.8,0.553,-,36208460.52,37611332.88,10674.5,
Lagoa de Velhos,2406403,lagoa-velhense,SONYARA DE SOUZA RIBEIRO FERREIRA,111.607,2567,23.00,97.5,0.589,31.25,30792330.61,27342368.16,13997.62,
Lagoa Nova,2406502,lagoa-novense,LUCIANO SILVA SANTOS,176.302,15573,88.33,95.5,0.585,17.94,79392603.05,72881738.62,16941.79,
Lagoa Salgada,2406601,lagoa-salgadense,OSIVAN S&Aacute;VIO NASCIMENTO QUEIROZ,79.128,8319,105.13,96,0.582,23.62,40283668.86,38390535.33,11297.65,
Lajes,2406700,lajense,FELIPE FERREIRA DE MENEZES ARAUJO,676.625,9866,14.58,99,0.624,-,80764518.07,86110170.89,14542.47,
Lajes Pintadas,2406809,lajes-pintadense,LUCIANO DA CUNHA GOMES,130.211,4787,36.76,95.9,0.625,-,38745038.67,36338481.69,10821.07,
Lucr&eacute;cia,2406908,lucreciano,MARIA DA CONCEI&Ccedil;&Atilde;O DO NASCIMENTO DUARTE,30.931,3490,112.83,99.5,0.646,52.63,28575234.81,27387514.31,12709.13,
Lu&iacute;s Gomes,2407005,lu&iacute;s-gomense,CARLOS AUGUSTO DE PAIVA,166.638,9070,54.43,99.4,0.608,9.62,48641134.71,46371081.82,8631.64,
Maca&iacute;ba,2407104,macaibense,EDIVALDO EM&Iacute;DIO DA SILVA J&Uacute;NIOR,510.092,82249,161.24,97.6,0.640,11.25,351960323.31,307462436.50,22071.67,
Macau,2407203,macauense,JOS&Eacute; ANT&Ocirc;NIO DE MENEZES SOUSA,775.302,27369,35.30,97.7,0.665,16.13,165140181.36,164882108.80,34442.75,
